"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT03"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-25","0.00",,,,"70","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-26","0.00",,,,"80","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-27","0.00",,,,"59","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-28","0.00",,,,"71","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-29","0.00",,,,"71","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-30","0.00",,,,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-03-31","0.00",,,,"62","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-01","0.00",,,,"61","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-02","0.00",,,,"66","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-03","0.00",,,,"67","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-04","0.00",,,,"59","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-05","0.14",,,,"57","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-06","0.00",,,,"61","47",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-07","0.69",,,,"58","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-08","0.00",,,,"61","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-09","0.00",,,,"65","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-10","0.00",,,,"62","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-11","0.00",,,,"64","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-12","0.00",,,,"71","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-13","0.00",,,,"58","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-14","0.00",,,,"61","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-15","0.00",,,,"66","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-16","0.00",,,,"79","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-17","0.00",,,,"70","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-18","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-19","0.00",,,,"59","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-20","0.00",,,,"59","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-21","0.00",,,,"55","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-22","0.00",,,,"61","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-23","0.00",,,,"63","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-24","0.12",,,,"59","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-25","0.35",,,,"59","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-26","0.00",,,,"67","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-27","0.00",,,,"76","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-28","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-29","0.00",,,,"64","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-04-30","0.00",,,,"84","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-01","0.00",,,,"68","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-02","0.00",,,,"61","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-03","0.00",,,,"60","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-04","0.00",,,,"55","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-05","0.00",,,,"61","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-06","0.00",,,,"63","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-07","0.00",,,,"63","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-08","0.00",,,,"61","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-09","0.00",,,,"60","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-10","0.00",,,,"57","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-11","0.00",,,,"59","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-12","0.00",,,,"60","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-13","0.00",,,,"61","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-14","0.00",,,,"63","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-15","0.00",,,,"60","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-16","0.00",,,,"60","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-17","0.00",,,,"60","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-18","0.00",,,,"59","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-19","0.00",,,,"61","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-20","0.03",,,,"59","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-21","0.03",,,,"64","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-22","0.00",,,,"61","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-23","0.00",,,,"62","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-24","0.00",,,,"56","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-25","0.01",,,,"59","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-26","0.02",,,,"61","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-27","0.00",,,,"58","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-28","0.00",,,,"59","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-29","0.00",,,,"57","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-30","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-05-31","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-01","0.01",,,,"70","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-02","0.00",,,,"62","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-03","0.00",,,,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-04","0.00",,,,"66","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-05","0.00",,,,"64","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-06","0.00",,,,"66","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-07","0.00",,,,"64","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-08","0.00",,,,"78","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-09","0.00",,,,"76","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-10","0.11",,,,"66","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-11","0.00",,,,"69","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-12","0.00",,,,"71","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-13","0.00",,,,"65","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-14","0.00",,,,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-15","0.00",,,,"59","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-16","0.00",,,,"63","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-17","0.00",,,,"68","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-18","0.00",,,,"61","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-19","0.00",,,,"65","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-20","0.00",,,,"65","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-21","0.00",,,,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-22","0.00",,,,"59","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-23","0.00",,,,"68","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-24","0.00",,,,"70","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-25","0.00",,,,"69","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-26","0.00",,,,"66","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-27","0.00",,,,"69","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-28","0.00",,,,"67","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-29","0.00",,,,"68","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-06-30","0.00",,,,"75","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-01","0.00",,,,"68","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-02","0.00",,,,"66","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-03","0.00",,,,"68","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-04","0.00",,,,"66","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-05","0.01",,,,"69","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-06","0.01",,,,"69","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-07","0.00",,,,"69","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-08","0.00",,,,"65","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-09","0.07",,,,"64","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-10","0.00",,,,"70","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-11","0.00",,,,"69","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-12","0.00",,,,"71","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-13","0.00",,,,"69","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-14","0.00",,,,"66","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-15","0.00",,,,"73","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-16","0.00",,,,"70","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-17","0.00",,,,"68","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-18","0.00",,,,"71","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-19","0.00",,,,"86","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-20","0.00",,,,"72","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-21","0.00",,,,"64","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-22","0.00",,,,"64","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-23","0.00",,,,"66","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-24","0.00",,,,"68","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-25","0.00",,,,"65","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-26","0.00",,,,"66","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-27","0.00",,,,"74","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-28","0.00",,,,"80","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-29","0.00",,,,"70","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-30","0.00",,,,"68","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-07-31","0.00",,,,"67","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-01","0.00",,,,"71","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-02","0.00",,,,"70","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-03","0.00",,,,"71","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-04","0.00",,,,"72","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-05","0.00",,,,"70","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-06","0.00",,,,"68","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-07","0.00",,,,"72","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-08","0.00",,,,"65","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-09","0.00",,,,"69","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-10","0.00",,,,"69","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-11","0.01",,,,"66","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-12","0.00",,,,"76","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-13","0.00",,,,"69","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-14","0.01",,,,"71","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-15","0.00",,,,"86","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-16","0.00",,,,"90","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-17","0.00",,,,"72","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-18","0.00",,,,"70","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-19","0.00",,,,"68","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-20","0.00",,,,"65","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-21","0.00",,,,"64","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-22","0.00",,,,"71","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-23","0.00",,,,"69","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-24","0.00",,,,"70","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-25","0.00",,,,"67","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-26","0.00",,,,"70","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-27","0.00",,,,"79","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-28","0.00",,,,"87","64",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-29","0.00",,,,"72","64",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-30","0.00",,,,"71","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-08-31","0.00",,,,"75","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-01","0.00",,,,"70","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-02","0.00",,,,"67","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-03","0.00",,,,"67","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-04","0.00",,,,"68","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-05","0.00",,,,"74","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-06","0.00",,,,"81","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-07","0.00",,,,"91","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-08","0.00",,,,"95","65",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-09","0.00",,,,"86","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-10","0.00",,,,"84","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-11","0.00",,,,"69","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-12","0.00",,,,"71","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-13","0.00",,,,"68","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-14","0.00",,,,"67","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-15","0.01",,,,"64","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-16","0.03",,,,"69","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-17","0.00",,,,"67","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-18","0.00",,,,"74","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-19","0.00",,,,"85","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-20","0.00",,,,"93","63",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-21","0.00",,,,"89","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-22","0.00",,,,"62","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-23","0.00",,,,"69","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-24","0.00",,,,"90","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-25","0.00",,,,"70","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-26","0.00",,,,"65","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-27","0.00",,,,"68","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-28","0.00",,,,"66","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-29","0.00",,,,"64","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-09-30","0.05",,,,"67","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-01","0.00",,,,"72","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-02","0.00",,,,"74","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-03","0.00",,,,"69","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-04","0.00",,,,"72","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-05","0.00",,,,"73","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-06","0.00",,,,"71","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-07","0.00",,,,"72","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-08","0.00",,,,"77","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-09","0.00",,,,"74","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-10","0.00",,,,"72","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-11","0.00",,,,"72","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-12","0.00",,,,"86","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-13","0.00",,,,"87","62",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-14","0.00",,,,"76","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-15","0.00",,,,"73","61",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-16","0.00",,,,"69","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-17","0.00",,,,"68","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-18","0.00",,,,"66","60",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-19","0.00",,,,"69","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-20","0.00",,,,"75","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-21","0.00",,,,"77","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-22","0.00",,,,"73","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-23","0.00",,,,"70","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-24","0.00",,,,"73","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-25","0.00",,,,"68","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-26","0.00",,,,"74","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-27","0.00",,,,"69","58",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-28","0.00",,,,"67","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-29","0.00",,,,"70","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-30","0.00",,,,"77","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-10-31","0.00",,,,"75","57",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-01","0.05","0.0","0.0",,"69","59",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-02","0.48","0.0","0.0",,"62","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-03","0.00","0.0","0.0",,"64","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-04","0.00","0.0","0.0",,"65","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-05","0.00","0.0","0.0",,"64","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-06","0.00","0.0","0.0",,"67","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-07","0.00","0.0","0.0",,"66","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-08","0.01","0.0","0.0",,"62","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-09","0.26","0.0","0.0",,"57","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-10","0.00","0.0","0.0",,"59","48",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-11","0.00","0.0","0.0",,"64","48",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-12","0.00","0.0","0.0",,"63","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-13","0.00","0.0","0.0",,"66","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-14","0.00","0.0","0.0",,"64","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-15","0.39","0.0","0.0",,"59","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-16","0.00","0.0","0.0",,"61","47",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-17","0.00","0.0","0.0",,"62","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-18","0.00","0.0","0.0",,"65","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-19","0.00","0.0","0.0",,"68","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-20","0.00","0.0","0.0",,"70","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-21","0.00","0.0","0.0",,"68","52",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-22","0.00","0.0","0.0",,"68","53",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-23","0.00","0.0","0.0",,"59","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-24","0.20","0.0","0.0",,"57","47",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-25","0.04","0.0","0.0",,"53","43",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-26","0.00","0.0","0.0",,"53","44",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-27","0.00","0.0","0.0",,"56","47",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-28","0.00","0.0","0.0",,"55","43",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-29","0.00","0.0","0.0",,"57","42",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-11-30","0.00","0.0","0.0",,"54","44",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-01","0.00",,,,"58","46",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-02","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-03","0.24",,,,"60","49",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-04","0.00",,,,"60","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-05","0.00",,,,"57","48",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-06","0.05",,,,"60","51",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-07","0.00",,,,"61","56",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-08","0.00",,,,"62","54",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-09","0.01",,,,"64","55",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-10","0.52",,,,"62","50",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-11","0.28",,,,"56","46",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-12","0.00",,,,"58","45",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-13","0.74",,,,"57","47",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-14","0.00",,,,"56","46",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-15","0.00",,,,"57","45",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-16","0.00",,,,"55","44",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-17","0.00",,,,"57","45",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2015-12-18","0.32",,,,"58","48",,
